"Name","test_mse.mean","State","Created","Runtime","latent_encoder_depth","latent_encoder_width","poly_degree","pre_processor_layers","ring_emb_dim","num_ensemble","num_steps","test_68_ci.mean","test_95_ci.mean","test_99_ci.mean","test_median.mean","train_68_ci.mean","train_95_ci.mean","train_99_ci.mean","train_median.mean","train_mse.mean","test_rmse_in_newtons"
"comic-breeze-23","1.3778340762311765","finished","2025-02-06T23:04:56.000Z","245","1","8","1","[8,8]","12","32","10000","1.054288078438152","3.0491474866867065","4.1529997478831895","0.6709745986895128","0.5864323648539457","2.6836736635728315","4.655855785716664","0.3535408675670624","1.12375009059906","5.221114762131481"
"fallen-dream-62","0.9968856844035062","finished","2025-02-07T00:28:22.000Z","234","2","8","1","","12","32","10000","0.8603810342875394","2.13146756995808","2.6644661101427944","0.5224263938990507","0.3752058500593359","1.1072141961617905","1.9319689815694636","0.2366229404102672","0.5201362804933027","4.441068361077185"
"wise-energy-122","0.9438512379472906","finished","2025-02-07T02:59:22.000Z","325","4","8","1","[16,5]","3","32","10000","0.9042211256243966","1.9230530099435288","2.2710189710963857","0.5954242863438346","0.2223249308087609","0.6122936768965288","1.0356461080637844","0.14188534292307767","0.29594795270399615","4.321321251980778"
"pleasant-bee-116","0.9379022311080586","finished","2025-02-07T02:43:53.000Z","364","3","64","1","[8,8]","12","32","10000","0.8680407702922821","1.9331978396935896","2.3084954619407654","0.5344039933247999","0.30292091044512665","0.8147711591287092","1.3793143467469648","0.19194746288386255","0.3914415782148188","4.307681281549569"
"sweet-voice-115","0.9101259031079032","finished","2025-02-07T02:38:55.000Z","313","4","8","1","[8,8]","24","32","10000","0.8134459338404916","1.9049261103976856","2.3723275553096426","0.5276174274357882","0.3098899613727223","0.8417945124886252","1.4001582210714167","0.2054639756679535","0.40764170072295447","4.24341508642774"
"jolly-haze-16","1.318074183030562","finished","2025-02-06T22:52:43.000Z","247","1","32","1","[8,8]","3","32","10000","1.0835350318388506","2.8625985492359507","3.915595943277532","0.6779984885996039","0.5976613055575978","2.146970098668879","3.9340650601820513","0.3642982759258963","0.9704793745821172","5.106633681918207"
"apricot-snow-146","0.9057511646639216","finished","2025-02-07T04:05:40.000Z","267","4","16","1","","12","32","10000","0.8304299143227664","1.8340570601550017","2.2596658143130215","0.5503229905258525","0.15698530863631854","0.5036357912150297","0.8033772002566945","0.10114786435257304","0.23312463814562015","4.233204305314232"
"fragrant-cherry-68","0.9954951839013532","finished","2025-02-07T00:41:58.000Z","234","2","16","1","","24","32","10000","0.9036473631858826","2.042962063442577","2.537681059403853","0.5705981417135759","0.38988336378877814","1.0191162824630735","1.851681113243103","0.24457933685996316","0.4992462261156602","4.437969980398003"
"trim-wildflower-54","0.9903256513855674","finished","2025-02-07T00:10:32.000Z","283","2","8","1","[16,5]","3","32","10000","0.924839120019566","2.036372195590626","2.495012597604231","0.6059121733362024","0.23912097649140793","0.7064131064848467","1.1670334935188291","0.1532709070227363","0.33509947765957226","4.42643195771387"
"sage-universe-140","0.8423408757556569","finished","2025-02-07T03:47:44.000Z","296","4","32","1","","12","32","10000","0.7613741159439087","1.7210255644538186","2.1189880533651873","0.5252912965687838","0.13217926567251032","0.4838270463726737","0.8010915301062844","0.08232205022465099","0.2203501503575932","4.0823357154852475"
